Estación,Año,Mes,Temperatura max med,Temperatura min med,Temperatura  med,Humedad Relat,Precipitaciones,Nombres Estaciones,Latitud,Longitud,Región
78310,2000,6,30.5,23.4,26.8,81.0,327.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,7,31.4,24.4,27.9,76.0,73.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,8,31.0,24.0,27.3,81.0,157.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,9,30.4,24.2,27.1,85.0,608.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,10,29.1,22.6,25.7,76.0,163.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,11,28.4,20.8,24.4,77.0,22.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2000,12,26.2,20.6,23.1,76.0,32.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,1,25.0,17.5,21.3,70.0,3.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,2,28.5,20.5,24.1,79.0,149.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,3,27.5,21.6,24.5,70.0,13.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,4,29.8,21.5,25.5,74.0,17.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,5,29.4,22.3,25.7,77.0,139.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,6,30.9,24.1,27.4,80.0,166.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,7,31.2,24.3,27.5,80.0,111.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,8,31.6,24.6,27.9,81.0,112.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,9,30.4,24.1,27.0,86.0,382.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,10,29.5,24.4,26.7,82.0,136.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,11,27.6,20.6,23.9,78.0,11.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2001,12,27.7,20.9,23.9,81.0,46.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,1,27.1,19.6,23.2,80.0,32.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,2,26.7,20.3,23.3,78.0,167.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,3,28.3,21.1,24.6,80.0,60.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,4,29.6,21.9,25.5,79.0,164.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,5,30.2,23.4,26.6,82.0,141.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,6,30.1,24.1,26.9,84.0,525.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,7,31.4,24.1,27.6,81.0,191.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,8,31.6,24.6,27.5,82.0,123.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,9,30.2,24.6,27.2,85.0,597.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,10,30.5,24.1,26.7,85.0,95.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,11,28.0,21.8,24.8,76.0,178.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2002,12,26.9,20.4,23.5,78.0,71.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2003,1,24.1,17.2,20.7,72.0,19.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2003,2,28.2,20.7,24.2,79.0,18.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2003,3,29.6,22.7,25.9,80.0,167.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2003,4,28.6,21.2,24.8,78.0,36.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2003,5,31.0,24.1,27.4,79.0,96.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2003,6,31.0,25.0,27.9,76.0,181.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,2003,7,31.2,24.3,27.5,80.0,184.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
